point 0,(-0.19081,-0.0130992,1.30393);
point 1,(-0.208146,-0.0466705,1.30941);
point 2,(-0.196614,-0.0830162,1.31134);
point 3,(-0.162968,-0.100846,1.30857);
point 4,(-0.126918,-0.0897142,1.30274);
point 5,(-0.109581,-0.0561429,1.29725);
point 6,(-0.121113,-0.0197972,1.29533);
point 7,(-0.154759,-0.00196789,1.29809);
point 8,(-0.235494,-0.0431775,0.965153);
point 9,(-0.252831,-0.0767488,0.97064);
point 10,(-0.241298,-0.113095,0.972566);
point 11,(-0.207652,-0.130924,0.969802);
point 12,(-0.171602,-0.119792,0.963968);
point 13,(-0.154265,-0.0862212,0.958481);
point 14,(-0.165797,-0.0498755,0.956555);
point 15,(-0.199443,-0.0320463,0.959319);
plane 0,8,9,1;
plane 1,9,10,2;
plane 2,10,11,3;
plane 3,11,12,4;
plane 4,12,13,5;
plane 5,13,14,6;
plane 6,14,15,7;
plane 8,0,7,15;
