point 0,(-0.216198,-0.165263,0.070236);
point 1,(-0.225993,-0.167921,0.0519558);
point 2,(-0.219618,-0.171531,0.0323728);
point 3,(-0.200808,-0.173979,0.0229584);
point 4,(-0.180581,-0.173829,0.0292274);
point 5,(-0.170787,-0.171171,0.0475075);
point 6,(-0.177162,-0.167561,0.0670906);
point 7,(-0.195972,-0.165113,0.076505);
point 8,(-0.20773,0.0272134,0.0347903);
point 9,(-0.217524,0.024555,0.0165101);
point 10,(-0.211149,0.0209448,-0.00307288);
point 11,(-0.192339,0.0184976,-0.0124874);
point 12,(-0.172113,0.0186469,-0.00621829);
point 13,(-0.162318,0.0213053,0.0120618);
point 14,(-0.168693,0.0249155,0.0316449);
point 15,(-0.187503,0.0273628,0.0410593);
plane 0,8,9,1;
plane 1,9,10,2;
plane 2,10,11,3;
plane 3,11,12,4;
plane 4,12,13,5;
plane 5,13,14,6;
plane 6,14,15,7;
plane 8,0,7,15;
