point 0,(-0.227131,0.230348,0.873435);
point 1,(-0.236378,0.237695,0.908558);
point 2,(-0.217573,0.242988,0.940045);
point 3,(-0.181731,0.243128,0.949453);
point 4,(-0.149849,0.238031,0.931268);
point 5,(-0.140602,0.230684,0.896145);
point 6,(-0.159407,0.225391,0.864658);
point 7,(-0.195248,0.225251,0.85525);
point 8,(-0.242392,-0.0868108,0.934699);
point 9,(-0.251639,-0.0794639,0.969822);
point 10,(-0.232834,-0.0741704,1.00131);
point 11,(-0.196993,-0.074031,1.01072);
point 12,(-0.16511,-0.0791275,0.992532);
point 13,(-0.155863,-0.0864744,0.957409);
point 14,(-0.174668,-0.091768,0.925921);
point 15,(-0.21051,-0.0919073,0.916514);
plane 0,8,9,1;
plane 1,9,10,2;
plane 2,10,11,3;
plane 3,11,12,4;
plane 4,12,13,5;
plane 5,13,14,6;
plane 6,14,15,7;
plane 8,0,7,15;
