point 0,(-0.121427,-0.0041776,0.383944);
point 1,(-0.147929,0.00583059,0.38417);
point 2,(-0.173133,-0.0043855,0.392104);
point 3,(-0.182275,-0.0288415,0.4031);
point 4,(-0.169999,-0.0532115,0.410716);
point 5,(-0.143497,-0.0632198,0.41049);
point 6,(-0.118293,-0.0530036,0.402556);
point 7,(-0.109151,-0.0285476,0.39156);
point 8,(-0.176528,-0.142152,0.0312609);
point 9,(-0.203031,-0.132143,0.0314864);
point 10,(-0.228235,-0.14236,0.0394209);
point 11,(-0.237376,-0.166816,0.0504167);
point 12,(-0.225101,-0.191186,0.0580325);
point 13,(-0.198598,-0.201194,0.0578071);
point 14,(-0.173394,-0.190978,0.0498724);
point 15,(-0.164253,-0.166522,0.0388766);
plane 0,8,9,1;
plane 1,9,10,2;
plane 2,10,11,3;
plane 3,11,12,4;
plane 4,12,13,5;
plane 5,13,14,6;
plane 6,14,15,7;
plane 8,0,7,15;
