point 0,(-0.117984,-0.00369542,0.40123);
point 1,(-0.108543,-0.028188,0.391539);
point 2,(-0.120263,-0.0527771,0.385139);
point 3,(-0.146279,-0.0630588,0.385781);
point 4,(-0.17135,-0.0530103,0.393087);
point 5,(-0.180791,-0.0285177,0.402779);
point 6,(-0.169071,-0.0039285,0.409178);
point 7,(-0.143055,0.00635321,0.408537);
point 8,(-0.0507466,-0.130163,0.794726);
point 9,(-0.0393428,-0.159748,0.78302);
point 10,(-0.0535,-0.18945,0.775289);
point 11,(-0.084925,-0.20187,0.776064);
point 12,(-0.115209,-0.189732,0.78489);
point 13,(-0.126613,-0.160147,0.796597);
point 14,(-0.112456,-0.130445,0.804327);
point 15,(-0.0810309,-0.118026,0.803552);
plane 0,8,9,1;
plane 1,9,10,2;
plane 2,10,11,3;
plane 3,11,12,4;
plane 4,12,13,5;
plane 5,13,14,6;
plane 6,14,15,7;
plane 8,0,7,15;
