point 0,(0.387814,0.0343195,1.0724);
point 1,(0.402708,0.0376998,1.03864);
point 2,(0.390217,0.0484375,1.00545);
point 3,(0.357659,0.0602427,0.992265);
point 4,(0.324106,0.0662,1.00682);
point 5,(0.309211,0.0628198,1.04058);
point 6,(0.321702,0.0520821,1.07377);
point 7,(0.35426,0.0402769,1.08695);
point 8,(0.304391,-0.271008,1.00613);
point 9,(0.319284,-0.267628,0.972371);
point 10,(0.306794,-0.25689,0.939177);
point 11,(0.274236,-0.245085,0.925996);
point 12,(0.240682,-0.239128,0.940549);
point 13,(0.225788,-0.242508,0.974311);
point 14,(0.238279,-0.253245,1.0075);
point 15,(0.270837,-0.265051,1.02069);
plane 0,8,9,1;
plane 1,9,10,2;
plane 2,10,11,3;
plane 3,11,12,4;
plane 4,12,13,5;
plane 5,13,14,6;
plane 8,0,7,15;
plane 6,14,15,7;
