point 0,(0.233556,-0.0129278,0.3911);
point 1,(0.208751,-0.00258592,0.382137);
point 2,(0.182316,-0.0126231,0.380398);
point 3,(0.169736,-0.0371597,0.386901);
point 4,(0.178381,-0.0618224,0.397837);
point 5,(0.203187,-0.0721643,0.406801);
point 6,(0.229622,-0.062127,0.40854);
point 7,(0.242201,-0.0375905,0.402036);
point 8,(0.306354,-0.143612,0.0388494);
point 9,(0.281549,-0.13327,0.0298864);
point 10,(0.255114,-0.143307,0.0281471);
point 11,(0.242535,-0.167844,0.0346504);
point 12,(0.25118,-0.192507,0.0455867);
point 13,(0.275985,-0.202849,0.0545496);
point 14,(0.30242,-0.192811,0.0562889);
point 15,(0.314999,-0.168275,0.0497856);
plane 0,8,9,1;
plane 1,9,10,2;
plane 2,10,11,3;
plane 3,11,12,4;
plane 4,12,13,5;
plane 5,13,14,6;
plane 6,14,15,7;
plane 8,0,7,15;
