point 0,(0.228268,-0.0120268,0.408457);
point 1,(0.240033,-0.0370503,0.404174);
point 2,(0.230839,-0.0620119,0.395495);
point 3,(0.20607,-0.0722894,0.387504);
point 4,(0.180237,-0.0618624,0.384882);
point 5,(0.168472,-0.0368388,0.389165);
point 6,(0.177667,-0.0118773,0.397844);
point 7,(0.202435,-0.00159972,0.405835);
point 8,(0.14987,-0.11385,0.807004);
point 9,(0.164081,-0.144076,0.801831);
point 10,(0.152975,-0.174228,0.791347);
point 11,(0.123057,-0.186642,0.781695);
point 12,(0.0918529,-0.174047,0.778528);
point 13,(0.0776414,-0.143821,0.783701);
point 14,(0.0887476,-0.113669,0.794185);
point 15,(0.118666,-0.101255,0.803837);
plane 0,8,9,1;
plane 1,9,10,2;
plane 2,10,11,3;
plane 3,11,12,4;
plane 4,12,13,5;
plane 5,13,14,6;
plane 6,14,15,7;
plane 8,0,7,15;
