point 0,(0.1311,-0.131576,0.891175);
point 1,(0.154321,-0.20485,0.901657);
point 2,(0.0975336,-0.256653,0.912132);
point 3,(-0.0059954,-0.256641,0.916465);
point 4,(-0.0956205,-0.20482,0.912116);
point 5,(-0.118841,-0.131546,0.901634);
point 6,(-0.0620537,-0.0797422,0.891159);
point 7,(0.0414753,-0.0797544,0.886826);
point 8,(0.201414,-0.0437783,1.34227);
point 9,(0.235128,-0.150168,1.35748);
point 10,(0.152677,-0.225385,1.37269);
point 11,(0.0023582,-0.225367,1.37898);
point 12,(-0.127773,-0.150125,1.37267);
point 13,(-0.161487,-0.0437354,1.35745);
point 14,(-0.0790353,0.031481,1.34224);
point 15,(0.0712832,0.0314631,1.33595);
plane 0,8,9,1;
plane 1,9,10,2;
plane 2,10,11,3;
plane 3,11,12,4;
plane 4,12,13,5;
plane 5,13,14,6;
plane 6,14,15,7;
plane 8,0,7,15;
