point 0,(-0.216214,-0.165275,0.0701372);
point 1,(-0.226009,-0.167926,0.0518558);
point 2,(-0.219634,-0.171529,0.0322715);
point 3,(-0.200823,-0.173974,0.0228566);
point 4,(-0.180597,-0.173828,0.0291261);
point 5,(-0.170803,-0.171177,0.0474074);
point 6,(-0.177178,-0.167574,0.0669917);
point 7,(-0.195988,-0.165129,0.0764067);
point 8,(-0.207734,0.0272143,0.0347654);
point 9,(-0.217529,0.0245634,0.016484);
point 10,(-0.211153,0.0209604,-0.0031003);
point 11,(-0.192343,0.0185157,-0.0125153);
point 12,(-0.172117,0.0186615,-0.0062458);
point 13,(-0.162323,0.0213124,0.0120357);
point 14,(-0.168698,0.0249154,0.0316199);
point 15,(-0.187508,0.0273601,0.0410349);
plane 0,8,9,1;
plane 1,9,10,2;
plane 2,10,11,3;
plane 3,11,12,4;
plane 4,12,13,5;
plane 5,13,14,6;
plane 6,14,15,7;
plane 8,0,7,15;
