point 0,(-0.121454,-0.00431159,0.383911);
point 1,(-0.147958,0.0056945,0.38414);
point 2,(-0.173161,-0.00452679,0.392071);
point 3,(-0.182301,-0.0289881,0.403057);
point 4,(-0.170023,-0.0533601,0.410663);
point 5,(-0.14352,-0.0633662,0.410433);
point 6,(-0.118317,-0.0531449,0.402502);
point 7,(-0.109177,-0.0286836,0.391517);
point 8,(-0.176546,-0.142148,0.0311718);
point 9,(-0.203049,-0.132142,0.0314014);
point 10,(-0.228253,-0.142363,0.0393319);
point 11,(-0.237393,-0.166824,0.0503179);
point 12,(-0.225115,-0.191196,0.0579237);
point 13,(-0.198612,-0.201202,0.0576942);
point 14,(-0.173408,-0.190981,0.0497636);
point 15,(-0.164269,-0.16652,0.0387777);
plane 0,8,9,1;
plane 1,9,10,2;
plane 2,10,11,3;
plane 3,11,12,4;
plane 4,12,13,5;
plane 5,13,14,6;
plane 6,14,15,7;
plane 8,0,7,15;
