point 0,(-0.118014,-0.00382889,0.401179);
point 1,(-0.108569,-0.0283229,0.391496);
point 2,(-0.120284,-0.0529164,0.385104);
point 3,(-0.146298,-0.0632029,0.385749);
point 4,(-0.171371,-0.0531568,0.393053);
point 5,(-0.180817,-0.0286629,0.402736);
point 6,(-0.169101,-0.0040694,0.409128);
point 7,(-0.143088,0.00621721,0.408483);
point 8,(-0.0507523,-0.130155,0.794717);
point 9,(-0.0393428,-0.159742,0.78302);
point 10,(-0.0534942,-0.189449,0.775299);
point 11,(-0.0849168,-0.201875,0.776078);
point 12,(-0.115203,-0.18974,0.7849);
point 13,(-0.126613,-0.160153,0.796597);
point 14,(-0.112461,-0.130446,0.804317);
point 15,(-0.081039,-0.118021,0.803539);
plane 0,8,9,1;
plane 1,9,10,2;
plane 2,10,11,3;
plane 3,11,12,4;
plane 4,12,13,5;
plane 5,13,14,6;
plane 6,14,15,7;
plane 8,0,7,15;
