point 0,(0.323264,0.169494,1.00939);
point 1,(0.336965,0.17056,0.974972);
point 2,(0.322307,0.171482,0.940951);
point 3,(0.287878,0.171722,0.927251);
point 4,(0.253845,0.171137,0.941897);
point 5,(0.240144,0.170072,0.97631);
point 6,(0.254801,0.16915,1.01033);
point 7,(0.28923,0.168911,1.02403);
point 8,(0.324762,-0.153777,1.00106);
point 9,(0.338463,-0.152712,0.966644);
point 10,(0.323806,-0.151789,0.932622);
point 11,(0.289376,-0.15155,0.918922);
point 12,(0.255343,-0.152134,0.933569);
point 13,(0.241642,-0.153199,0.967982);
point 14,(0.256299,-0.154121,1.002);
point 15,(0.290729,-0.154361,1.0157);
plane 0,8,9,1;
plane 1,9,10,2;
plane 2,10,11,3;
plane 3,11,12,4;
plane 4,12,13,5;
plane 5,13,14,6;
plane 8,0,7,15;
plane 6,14,15,7;
