point 0,(0.22841,-0.0140575,0.407717);
point 1,(0.240149,-0.0391143,0.40356);
point 2,(0.230929,-0.0641099,0.395007);
point 3,(0.20615,-0.0744022,0.387069);
point 4,(0.180328,-0.0639621,0.384395);
point 5,(0.168588,-0.0389053,0.388552);
point 6,(0.177808,-0.0139097,0.397105);
point 7,(0.202587,-0.00361741,0.405044);
point 8,(0.149917,-0.113792,0.806774);
point 9,(0.164097,-0.144059,0.801753);
point 10,(0.15296,-0.174252,0.791421);
point 11,(0.123029,-0.186684,0.781832);
point 12,(0.0918378,-0.174073,0.778602);
point 13,(0.0776573,-0.143807,0.783623);
point 14,(0.0887945,-0.113614,0.793955);
point 15,(0.118725,-0.101182,0.803544);
plane 0,8,9,1;
plane 1,9,10,2;
plane 2,10,11,3;
plane 3,11,12,4;
plane 4,12,13,5;
plane 5,13,14,6;
plane 6,14,15,7;
plane 8,0,7,15;
