point 0,(-0.118016,-0.00384,0.401175);
point 1,(-0.10857,-0.028334,0.391492);
point 2,(-0.120285,-0.0529279,0.385101);
point 3,(-0.146299,-0.0632147,0.385747);
point 4,(-0.171373,-0.0531687,0.39305);
point 5,(-0.180818,-0.0286746,0.402733);
point 6,(-0.169103,-0.0040808,0.409123);
point 7,(-0.14309,0.00620601,0.408478);
point 8,(-0.0507526,-0.130155,0.794716);
point 9,(-0.0393428,-0.159742,0.78302);
point 10,(-0.0534938,-0.189449,0.7753);
point 11,(-0.0849162,-0.201875,0.776079);
point 12,(-0.115203,-0.18974,0.784901);
point 13,(-0.126613,-0.160153,0.796597);
point 14,(-0.112462,-0.130446,0.804317);
point 15,(-0.0810395,-0.11802,0.803537);
plane 0,8,9,1;
plane 1,9,10,2;
plane 2,10,11,3;
plane 3,11,12,4;
plane 4,12,13,5;
plane 5,13,14,6;
plane 6,14,15,7;
plane 8,0,7,15;
