point 0,(0.251857,-0.153468,0.0541686);
point 1,(0.249048,-0.156554,0.0336922);
point 2,(0.261917,-0.158978,0.0174065);
point 3,(0.282924,-0.159321,0.0148514);
point 4,(0.299765,-0.157382,0.0275238);
point 5,(0.302573,-0.154296,0.0480002);
point 6,(0.289705,-0.151872,0.0642859);
point 7,(0.268697,-0.151529,0.0668409);
point 8,(0.252192,0.0397289,0.022407);
point 9,(0.249383,0.0366431,0.00193062);
point 10,(0.262252,0.0342187,-0.0143552);
point 11,(0.283259,0.0338758,-0.0169102);
point 12,(0.3001,0.0358153,-0.00423789);
point 13,(0.302908,0.038901,0.0162385);
point 14,(0.29004,0.0413254,0.0325243);
point 15,(0.269033,0.0416683,0.0350793);
plane 0,8,9,1;
plane 1,9,10,2;
plane 2,10,11,3;
plane 3,11,12,4;
plane 4,12,13,5;
plane 5,13,14,6;
plane 6,14,15,7;
plane 8,0,7,15;
