point 0,(0.233603,-0.0132444,0.391035);
point 1,(0.208799,-0.00289329,0.382081);
point 2,(0.182363,-0.0129277,0.380333);
point 3,(0.169783,-0.0374695,0.386814);
point 4,(0.178426,-0.0621425,0.397728);
point 5,(0.203231,-0.0724936,0.406682);
point 6,(0.229667,-0.0624592,0.40843);
point 7,(0.242247,-0.0379174,0.401949);
point 8,(0.306398,-0.143614,0.0386668);
point 9,(0.281593,-0.133263,0.029713);
point 10,(0.255158,-0.143298,0.0279645);
point 11,(0.242577,-0.16784,0.0344456);
point 12,(0.251221,-0.192512,0.0453597);
point 13,(0.276025,-0.202863,0.0543135);
point 14,(0.302461,-0.192829,0.0560619);
point 15,(0.315041,-0.168287,0.0495809);
plane 0,8,9,1;
plane 1,9,10,2;
plane 2,10,11,3;
plane 3,11,12,4;
plane 4,12,13,5;
plane 5,13,14,6;
plane 6,14,15,7;
plane 8,0,7,15;
