point 0,(0.228324,-0.0123468,0.408349);
point 1,(0.24008,-0.037378,0.404084);
point 2,(0.230876,-0.0623424,0.395424);
point 3,(0.206104,-0.0726163,0.38744);
point 4,(0.180275,-0.0621813,0.384811);
point 5,(0.168519,-0.0371501,0.389075);
point 6,(0.177723,-0.0121857,0.397736);
point 7,(0.202495,-0.00191181,0.405719);
point 8,(0.149887,-0.113848,0.806971);
point 9,(0.164087,-0.144083,0.80182);
point 10,(0.152969,-0.174238,0.791358);
point 11,(0.123047,-0.186648,0.781715);
point 12,(0.0918473,-0.174044,0.778539);
point 13,(0.0776474,-0.143808,0.78369);
point 14,(0.0887652,-0.113653,0.794151);
point 15,(0.118688,-0.101243,0.803795);
plane 0,8,9,1;
plane 1,9,10,2;
plane 2,10,11,3;
plane 3,11,12,4;
plane 4,12,13,5;
plane 5,13,14,6;
plane 6,14,15,7;
plane 8,0,7,15;
