point 0,(-0.216181,-0.165248,0.0703496);
point 1,(-0.225974,-0.167913,0.0520699);
point 2,(-0.219599,-0.171534,0.0324893);
point 3,(-0.200788,-0.173991,0.0230776);
point 4,(-0.180563,-0.173844,0.0293483);
point 5,(-0.170769,-0.171179,0.047628);
point 6,(-0.177145,-0.167558,0.0672087);
point 7,(-0.195955,-0.165101,0.0766203);
point 8,(-0.207659,0.0272085,0.034809);
point 9,(-0.217453,0.0245435,0.0165294);
point 10,(-0.211077,0.020922,-0.00305128);
point 11,(-0.192267,0.0184651,-0.0124629);
point 12,(-0.172041,0.0186123,-0.0061923);
point 13,(-0.162247,0.0212773,0.0120874);
point 14,(-0.168623,0.0248989,0.0316681);
point 15,(-0.187433,0.0273557,0.0410797);
plane 0,8,9,1;
plane 1,9,10,2;
plane 2,10,11,3;
plane 3,11,12,4;
plane 4,12,13,5;
plane 5,13,14,6;
plane 6,14,15,7;
plane 8,0,7,15;
