point 0,(-0.117997,-0.00353468,0.401296);
point 1,(-0.108554,-0.0280225,0.391594);
point 2,(-0.120273,-0.0526098,0.385184);
point 3,(-0.146288,-0.0628938,0.385821);
point 4,(-0.17136,-0.0528502,0.393132);
point 5,(-0.180803,-0.0283624,0.402834);
point 6,(-0.169084,-0.0037751,0.409244);
point 7,(-0.143069,0.00650889,0.408607);
point 8,(-0.0507488,-0.130163,0.794738);
point 9,(-0.0393429,-0.159742,0.783019);
point 10,(-0.0534978,-0.189442,0.775277);
point 11,(-0.0849218,-0.201864,0.776046);
point 12,(-0.115207,-0.189732,0.784878);
point 13,(-0.126613,-0.160153,0.796597);
point 14,(-0.112458,-0.130454,0.804339);
point 15,(-0.0810341,-0.118031,0.803569);
plane 0,8,9,1;
plane 1,9,10,2;
plane 2,10,11,3;
plane 3,11,12,4;
plane 4,12,13,5;
plane 5,13,14,6;
plane 6,14,15,7;
plane 8,0,7,15;
