point 0,(0.256339,-0.133807,1.31286);
point 1,(0.270476,-0.0984377,1.31024);
point 2,(0.25596,-0.0641019,1.30199);
point 3,(0.221293,-0.0509127,1.29295);
point 4,(0.186782,-0.0665963,1.2884);
point 5,(0.172645,-0.101965,1.29103);
point 6,(0.187161,-0.136301,1.29927);
point 7,(0.221828,-0.14949,1.30832);
point 8,(0.323496,-0.18736,0.980762);
point 9,(0.337634,-0.151991,0.978141);
point 10,(0.323117,-0.117655,0.969893);
point 11,(0.28845,-0.104466,0.960849);
point 12,(0.25394,-0.120149,0.956306);
point 13,(0.239802,-0.155518,0.958927);
point 14,(0.254318,-0.189854,0.967175);
point 15,(0.288985,-0.203043,0.97622);
plane 0,8,9,1;
plane 1,9,10,2;
plane 4,12,13,5;
plane 5,13,14,6;
plane 6,14,15,7;
plane 8,0,7,15;
plane 2,10,11,3;
plane 3,11,12,4;
