point 0,(0.233581,-0.0135614,0.390952);
point 1,(0.208772,-0.0032132,0.382007);
point 2,(0.182341,-0.0132573,0.38025);
point 3,(0.169771,-0.03781,0.38671);
point 4,(0.178425,-0.0624886,0.397604);
point 5,(0.203234,-0.0728368,0.406549);
point 6,(0.229666,-0.0627927,0.408306);
point 7,(0.242236,-0.03824,0.401846);
point 8,(0.306431,-0.143601,0.0384736);
point 9,(0.281622,-0.133253,0.0295286);
point 10,(0.255191,-0.143297,0.0277715);
point 11,(0.242621,-0.167849,0.0342317);
point 12,(0.251275,-0.192528,0.0451248);
point 13,(0.276084,-0.202876,0.0540699);
point 14,(0.302515,-0.192832,0.0558269);
point 15,(0.315086,-0.168279,0.0493667);
plane 0,8,9,1;
plane 1,9,10,2;
plane 2,10,11,3;
plane 3,11,12,4;
plane 4,12,13,5;
plane 5,13,14,6;
plane 6,14,15,7;
plane 8,0,7,15;
