point 0,(0.120142,-0.104237,0.891168);
point 1,(0.161561,-0.168989,0.901647);
point 2,(0.120142,-0.233741,0.912125);
point 3,(0.0201478,-0.260562,0.916465);
point 4,(-0.0798462,-0.233741,0.912123);
point 5,(-0.121265,-0.168989,0.901644);
point 6,(-0.0798461,-0.104238,0.891166);
point 7,(0.020148,-0.0774164,0.886826);
point 8,(0.165329,-0.0012153,1.34225);
point 9,(0.225467,-0.0952314,1.35747);
point 10,(0.165329,-0.189248,1.37268);
point 11,(0.0201431,-0.22819,1.37898);
point 12,(-0.125043,-0.189248,1.37268);
point 13,(-0.185181,-0.0952317,1.35747);
point 14,(-0.125042,-0.00121549,1.34225);
point 15,(0.0201437,0.0377273,1.33595);
plane 0,8,9,1;
plane 1,9,10,2;
plane 2,10,11,3;
plane 3,11,12,4;
plane 4,12,13,5;
plane 5,13,14,6;
plane 6,14,15,7;
plane 8,0,7,15;
