point 0,(-0.221446,-0.0732425,1.30394);
point 1,(-0.229488,-0.11016,1.30943);
point 2,(-0.20893,-0.142275,1.31135);
point 3,(-0.171813,-0.150774,1.30859);
point 4,(-0.13988,-0.13068,1.30275);
point 5,(-0.131837,-0.0937622,1.29726);
point 6,(-0.152395,-0.0616475,1.29534);
point 7,(-0.189513,-0.053148,1.29811);
point 8,(-0.256831,-0.113875,0.965173);
point 9,(-0.264874,-0.150793,0.970661);
point 10,(-0.244315,-0.182907,0.972585);
point 11,(-0.207198,-0.191407,0.969818);
point 12,(-0.175265,-0.171312,0.963982);
point 13,(-0.167222,-0.134395,0.958494);
point 14,(-0.187781,-0.10228,0.95657);
point 15,(-0.224898,-0.0937805,0.959337);
plane 0,8,9,1;
plane 1,9,10,2;
plane 2,10,11,3;
plane 3,11,12,4;
plane 4,12,13,5;
plane 5,13,14,6;
plane 6,14,15,7;
plane 8,0,7,15;
