point 0,(-0.121436,-0.0040057,0.383992);
point 1,(-0.147941,0.00599801,0.384213);
point 2,(-0.173143,-0.00421889,0.392152);
point 3,(-0.18228,-0.0286715,0.40316);
point 4,(-0.17,-0.0530357,0.410787);
point 5,(-0.143496,-0.0630394,0.410566);
point 6,(-0.118294,-0.0528225,0.402627);
point 7,(-0.109156,-0.0283699,0.39162);
point 8,(-0.176514,-0.142154,0.0313735);
point 9,(-0.203018,-0.132151,0.0315942);
point 10,(-0.22822,-0.142367,0.0395336);
point 11,(-0.237357,-0.16682,0.0505408);
point 12,(-0.225077,-0.191184,0.0581679);
point 13,(-0.198573,-0.201188,0.0579472);
point 14,(-0.173371,-0.190971,0.0500077);
point 15,(-0.164234,-0.166518,0.0390006);
plane 0,8,9,1;
plane 1,9,10,2;
plane 2,10,11,3;
plane 3,11,12,4;
plane 4,12,13,5;
plane 5,13,14,6;
plane 6,14,15,7;
plane 8,0,7,15;
