point 0,(-0.11799,-0.0035239,0.4013);
point 1,(-0.108549,-0.0280118,0.391597);
point 2,(-0.120268,-0.0525985,0.385187);
point 3,(-0.146283,-0.0628814,0.385824);
point 4,(-0.171355,-0.0528369,0.393135);
point 5,(-0.180797,-0.028349,0.402837);
point 6,(-0.169077,-0.00376232,0.409248);
point 7,(-0.143062,0.00652058,0.408611);
point 8,(-0.0507476,-0.130165,0.794739);
point 9,(-0.0393429,-0.159744,0.783019);
point 10,(-0.053499,-0.189443,0.775276);
point 11,(-0.0849235,-0.201864,0.776045);
point 12,(-0.115208,-0.189731,0.784877);
point 13,(-0.126613,-0.160151,0.796597);
point 14,(-0.112457,-0.130453,0.80434);
point 15,(-0.0810323,-0.118032,0.803571);
plane 0,8,9,1;
plane 1,9,10,2;
plane 2,10,11,3;
plane 3,11,12,4;
plane 4,12,13,5;
plane 5,13,14,6;
plane 6,14,15,7;
plane 8,0,7,15;
