point 0,(0.233588,-0.0135944,0.390946);
point 1,(0.208779,-0.003245,0.382002);
point 2,(0.182348,-0.0132886,0.380244);
point 3,(0.169777,-0.0378417,0.386702);
point 4,(0.178431,-0.0625216,0.397592);
point 5,(0.20324,-0.072871,0.406536);
point 6,(0.229671,-0.0628274,0.408294);
point 7,(0.242242,-0.0382743,0.401837);
point 8,(0.306436,-0.143599,0.0384543);
point 9,(0.281627,-0.13325,0.0295103);
point 10,(0.255196,-0.143293,0.0277522);
point 11,(0.242626,-0.167846,0.0342099);
point 12,(0.251279,-0.192526,0.0451005);
point 13,(0.276088,-0.202875,0.0540445);
point 14,(0.30252,-0.192832,0.0558025);
point 15,(0.31509,-0.168279,0.0493449);
plane 0,8,9,1;
plane 1,9,10,2;
plane 2,10,11,3;
plane 3,11,12,4;
plane 4,12,13,5;
plane 5,13,14,6;
plane 6,14,15,7;
plane 8,0,7,15;
