point 0,(0.228319,-0.0127018,0.408211);
point 1,(0.240075,-0.0377367,0.40397);
point 2,(0.230871,-0.0627094,0.395332);
point 3,(0.206099,-0.0729913,0.387359);
point 4,(0.18027,-0.0625593,0.38472);
point 5,(0.168514,-0.0375243,0.388961);
point 6,(0.177717,-0.0125517,0.397598);
point 7,(0.202489,-0.00226982,0.405572);
point 8,(0.149886,-0.113831,0.806928);
point 9,(0.164087,-0.144071,0.801805);
point 10,(0.15297,-0.174237,0.791372);
point 11,(0.123047,-0.186656,0.78174);
point 12,(0.0918476,-0.174055,0.778552);
point 13,(0.0776471,-0.143815,0.783675);
point 14,(0.0887642,-0.11365,0.794109);
point 15,(0.118687,-0.10123,0.80374);
plane 0,8,9,1;
plane 1,9,10,2;
plane 2,10,11,3;
plane 3,11,12,4;
plane 4,12,13,5;
plane 5,13,14,6;
plane 6,14,15,7;
plane 8,0,7,15;
