point 0,(-0.121441,-0.0041313,0.383958);
point 1,(-0.147945,0.00587379,0.384183);
point 2,(-0.173148,-0.00434449,0.392119);
point 3,(-0.182287,-0.0288005,0.403117);
point 4,(-0.170008,-0.0531681,0.410736);
point 5,(-0.143504,-0.0631731,0.410511);
point 6,(-0.118301,-0.0529548,0.402575);
point 7,(-0.109163,-0.0284989,0.391577);
point 8,(-0.176527,-0.142152,0.0312906);
point 9,(-0.20303,-0.132147,0.031515);
point 10,(-0.228233,-0.142365,0.0394507);
point 11,(-0.237372,-0.166821,0.0504493);
point 12,(-0.225093,-0.191189,0.0580678);
point 13,(-0.198589,-0.201194,0.0578435);
point 14,(-0.173386,-0.190975,0.0499076);
point 15,(-0.164248,-0.166519,0.0389091);
plane 0,8,9,1;
plane 1,9,10,2;
plane 2,10,11,3;
plane 3,11,12,4;
plane 4,12,13,5;
plane 5,13,14,6;
plane 6,14,15,7;
plane 8,0,7,15;
