point 0,(-0.117998,-0.00364912,0.40125);
point 1,(-0.108555,-0.0281396,0.391555);
point 2,(-0.120273,-0.052729,0.385153);
point 3,(-0.146288,-0.063013,0.385793);
point 4,(-0.17136,-0.0529674,0.393101);
point 5,(-0.180803,-0.0284769,0.402796);
point 6,(-0.169085,-0.00388759,0.409198);
point 7,(-0.14307,0.0063965,0.408558);
point 8,(-0.0507491,-0.130161,0.79473);
point 9,(-0.0393428,-0.159744,0.783019);
point 10,(-0.0534975,-0.189446,0.775285);
point 11,(-0.0849214,-0.201868,0.776059);
point 12,(-0.115207,-0.189734,0.784886);
point 13,(-0.126613,-0.160151,0.796597);
point 14,(-0.112458,-0.130449,0.804331);
point 15,(-0.0810344,-0.118027,0.803557);
plane 0,8,9,1;
plane 1,9,10,2;
plane 2,10,11,3;
plane 3,11,12,4;
plane 4,12,13,5;
plane 5,13,14,6;
plane 6,14,15,7;
plane 8,0,7,15;
