point 0,(0.338643,0.169991,0.956038);
point 1,(0.359079,0.163716,0.925771);
point 2,(0.351743,0.158423,0.889836);
point 3,(0.320932,0.157213,0.869285);
point 4,(0.284696,0.160794,0.876155);
point 5,(0.26426,0.16707,0.906422);
point 6,(0.271595,0.172363,0.942357);
point 7,(0.302406,0.173573,0.962909);
point 8,(0.316676,-0.14836,1.00844);
point 9,(0.337112,-0.154635,0.978172);
point 10,(0.329776,-0.159928,0.942237);
point 11,(0.298966,-0.161138,0.921686);
point 12,(0.262729,-0.157557,0.928556);
point 13,(0.242293,-0.151281,0.958823);
point 14,(0.249629,-0.145988,0.994758);
point 15,(0.280439,-0.144778,1.01531);
plane 0,8,9,1;
plane 1,9,10,2;
plane 2,10,11,3;
plane 3,11,12,4;
plane 4,12,13,5;
plane 5,13,14,6;
plane 6,14,15,7;
plane 8,0,7,15;
