point 0,(0.233568,-0.0131312,0.391053);
point 1,(0.208761,-0.00278671,0.382096);
point 2,(0.182327,-0.0128255,0.380351);
point 3,(0.16975,-0.037367,0.386841);
point 4,(0.178398,-0.0620351,0.397763);
point 5,(0.203204,-0.0723796,0.40672);
point 6,(0.229638,-0.0623408,0.408465);
point 7,(0.242215,-0.0377993,0.401976);
point 8,(0.30638,-0.143609,0.0387288);
point 9,(0.281573,-0.133264,0.0297716);
point 10,(0.255139,-0.143303,0.0280265);
point 11,(0.242562,-0.167844,0.0345159);
point 12,(0.25121,-0.192512,0.0454382);
point 13,(0.276016,-0.202857,0.0543954);
point 14,(0.30245,-0.192818,0.0561404);
point 15,(0.315027,-0.168276,0.0496511);
plane 0,8,9,1;
plane 1,9,10,2;
plane 2,10,11,3;
plane 3,11,12,4;
plane 4,12,13,5;
plane 5,13,14,6;
plane 6,14,15,7;
plane 8,0,7,15;
