point 0,(0.228285,-0.0122327,0.408382);
point 1,(0.240047,-0.0372598,0.404112);
point 2,(0.23085,-0.0622248,0.395446);
point 3,(0.20608,-0.0725033,0.38746);
point 4,(0.180249,-0.0620744,0.384833);
point 5,(0.168486,-0.0370472,0.389103);
point 6,(0.177684,-0.0120824,0.397769);
point 7,(0.202453,-0.0018039,0.405755);
point 8,(0.149875,-0.113844,0.806981);
point 9,(0.164083,-0.144075,0.801823);
point 10,(0.152973,-0.174231,0.791355);
point 11,(0.123054,-0.186646,0.781709);
point 12,(0.0918511,-0.174049,0.778535);
point 13,(0.0776433,-0.143818,0.783693);
point 14,(0.0887532,-0.113663,0.794162);
point 15,(0.118673,-0.101247,0.803808);
plane 0,8,9,1;
plane 1,9,10,2;
plane 2,10,11,3;
plane 3,11,12,4;
plane 4,12,13,5;
plane 5,13,14,6;
plane 6,14,15,7;
plane 8,0,7,15;
