point 0,(-0.21528,-0.164678,0.0760987);
point 1,(-0.225063,-0.167786,0.0578835);
point 2,(-0.218673,-0.171815,0.0383873);
point 3,(-0.199853,-0.174404,0.0290308);
point 4,(-0.179628,-0.174037,0.0352949);
point 5,(-0.169845,-0.170929,0.0535101);
point 6,(-0.176235,-0.1669,0.0730063);
point 7,(-0.195055,-0.16431,0.0823628);
point 8,(-0.20753,0.0269768,0.0363025);
point 9,(-0.217312,0.0238683,0.0180872);
point 10,(-0.210922,0.0198394,-0.00140901);
point 11,(-0.192102,0.01725,-0.0107655);
point 12,(-0.171877,0.0176171,-0.00450139);
point 13,(-0.162094,0.0207256,0.0137139);
point 14,(-0.168484,0.0247545,0.0332101);
point 15,(-0.187304,0.0273438,0.0425666);
plane 0,8,9,1;
plane 1,9,10,2;
plane 2,10,11,3;
plane 3,11,12,4;
plane 4,12,13,5;
plane 5,13,14,6;
plane 6,14,15,7;
plane 8,0,7,15;
