point 0,(-0.121121,0.00367429,0.386153);
point 1,(-0.147659,0.0135897,0.386155);
point 2,(-0.172828,0.003462,0.394314);
point 3,(-0.181883,-0.0207763,0.40585);
point 4,(-0.16952,-0.0449266,0.414006);
point 5,(-0.142982,-0.0548421,0.414004);
point 6,(-0.117814,-0.0447143,0.405845);
point 7,(-0.108759,-0.0204761,0.394309);
point 8,(-0.175689,-0.142304,0.0366225);
point 9,(-0.202227,-0.132388,0.0366247);
point 10,(-0.227396,-0.142516,0.0447837);
point 11,(-0.23645,-0.166754,0.0563203);
point 12,(-0.224088,-0.190905,0.0644763);
point 13,(-0.19755,-0.20082,0.0644741);
point 14,(-0.172382,-0.190692,0.0563149);
point 15,(-0.163327,-0.166454,0.0447784);
plane 0,8,9,1;
plane 1,9,10,2;
plane 2,10,11,3;
plane 3,11,12,4;
plane 4,12,13,5;
plane 5,13,14,6;
plane 6,14,15,7;
plane 8,0,7,15;
