point 0,(-0.117524,0.0041382,0.404424);
point 1,(-0.108158,-0.0201843,0.394244);
point 2,(-0.119952,-0.044605,0.387356);
point 3,(-0.145999,-0.0548186,0.387794);
point 4,(-0.17104,-0.0448421,0.395302);
point 5,(-0.180406,-0.0205196,0.405483);
point 6,(-0.168611,0.00390112,0.412371);
point 7,(-0.142564,0.0141146,0.411933);
point 8,(-0.0506577,-0.130373,0.795308);
point 9,(-0.0393441,-0.159752,0.783011);
point 10,(-0.0535915,-0.18925,0.77469);
point 11,(-0.085054,-0.201588,0.77522);
point 12,(-0.115301,-0.189537,0.784289);
point 13,(-0.126615,-0.160157,0.796586);
point 14,(-0.112367,-0.130659,0.804907);
point 15,(-0.0809048,-0.118322,0.804377);
plane 0,8,9,1;
plane 1,9,10,2;
plane 2,10,11,3;
plane 3,11,12,4;
plane 4,12,13,5;
plane 5,13,14,6;
plane 6,14,15,7;
plane 8,0,7,15;
