point 0,(0.233167,-0.00455692,0.393152);
point 1,(0.20841,0.0056915,0.383949);
point 2,(0.181927,-0.00425571,0.382447);
point 3,(0.16923,-0.0285716,0.389525);
point 4,(0.177757,-0.0530124,0.401037);
point 5,(0.202514,-0.0632608,0.41024);
point 6,(0.228997,-0.0533135,0.411742);
point 7,(0.241694,-0.0289976,0.404664);
point 8,(0.305279,-0.143827,0.044064);
point 9,(0.280522,-0.133579,0.0348616);
point 10,(0.254039,-0.143526,0.0333594);
point 11,(0.241342,-0.167842,0.0404376);
point 12,(0.249869,-0.192283,0.0519496);
point 13,(0.274626,-0.202531,0.0611521);
point 14,(0.301109,-0.192584,0.0626541);
point 15,(0.313806,-0.168268,0.055576);
plane 0,8,9,1;
plane 1,9,10,2;
plane 2,10,11,3;
plane 3,11,12,4;
plane 4,12,13,5;
plane 5,13,14,6;
plane 6,14,15,7;
plane 8,0,7,15;
