point 0,(0.032085,-0.034253,0.013706);
point 1,(0.046222,0.001116,0.011086);
point 2,(0.031706,0.035452,0.002836);
point 3,(-0.002961,0.048641,-0.006204);
point 4,(-0.037472,0.032958,-0.010754);
point 5,(-0.051609,-0.002411,-0.008124);
point 6,(-0.037093,-0.036747,0.000116);
point 7,(-0.002426,-0.049936,0.009166);
point 8,(0.099244,-0.087807,-0.318391);
point 9,(0.113381,-0.052438,-0.321012);
point 10,(0.098865,-0.018103,-0.329260);
point 11,(0.064198,-0.004914,-0.338305);
point 12,(0.029687,-0.020597,-0.342847);
point 13,(0.015549,-0.055966,-0.340227);
point 14,(0.030066,-0.090302,-0.331978);
point 15,(0.064733,-0.103491,-0.322934);
plane 0,8,9,1;
plane 1,9,10,2;
plane 2,10,11,3;
plane 3,11,12,4;
plane 4,12,13,5;
plane 5,13,14,6;
plane 6,14,15,7;
plane 8,0,7,15;
