point 0,(0.251907,-0.153477,0.0539446);
point 1,(0.2491,-0.156542,0.033465);
point 2,(0.26197,-0.158953,0.0171781);
point 3,(0.282977,-0.159295,0.0146247);
point 4,(0.299817,-0.157371,0.0273005);
point 5,(0.302624,-0.154305,0.0477802);
point 6,(0.289754,-0.151895,0.064067);
point 7,(0.268747,-0.151552,0.0666204);
point 8,(0.25227,0.039751,0.0223706);
point 9,(0.249463,0.0366855,0.0018909);
point 10,(0.262332,0.0342752,-0.0143959);
point 11,(0.28334,0.0339321,-0.0169493);
point 12,(0.300179,0.0358571,-0.00427361);
point 13,(0.302987,0.0389225,0.0162061);
point 14,(0.290117,0.0413328,0.032493);
point 15,(0.269109,0.0416759,0.0350464);
plane 0,8,9,1;
plane 1,9,10,2;
plane 2,10,11,3;
plane 3,11,12,4;
plane 4,12,13,5;
plane 5,13,14,6;
plane 6,14,15,7;
plane 8,0,7,15;
