point 0,(0.051275,0.319412,-0.010475); 
point 1,(0.071717,0.313208,-0.040754); 
point 2,(0.064387,0.307999,-0.076702); 
point 3,(0.033581,0.306838,-0.097262); 
point 4,(-0.002657,0.310403,-0.090391); 
point 5,(-0.023099,0.316607,-0.060113); 
point 6,(-0.015770,0.321815,-0.024164); 
point 7,(0.015037,0.322977,-0.003604); 
point 8,(0.029298,0.000938,0.041174); 
point 9,(0.049740,-0.005266,0.010893); 
point 10,(0.042411,-0.010474,-0.025055); 
point 11,(0.011604,-0.011636,-0.045616); 
point 12,(-0.024634,-0.008071,-0.038744); 
point 13,(-0.045076,-0.001867,-0.008466); 
point 14,(-0.037747,0.003342,0.027483); 
point 15,(-0.006940,0.004503,0.048044); 
plane 0,8,9,1;
plane 1,9,10,2;
plane 2,10,11,3;
plane 3,11,12,4;
plane 4,12,13,5;
plane 5,13,14,6;
plane 6,14,15,7;
plane 8,0,7,15;
